iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
2 , 23.785714285714285 , 0.5 , 0.5 , 24 , 54 , 33 , 132 , 111 , 3 , 10.896 , 32.837 , 45.133 , 32.837 , 45.133 , 0.87 , 0.889 , 54.513 , -0.30867534829769744 , 62.659 , 0.038 , 142.97030649710564
2 , 23.916666666666668 , 0.5 , 0.5 , 24 , 63 , 36 , 150 , 123 , 3 , 10.817 , 28.593 , 40.103 , 28.593 , 40.103 , 0.884 , 0.905 , 54.813 , -0.3147851719591337 , 62.006 , 0.05 , 133.69594861349435
1 , 24.0 , 0.5 , 0.5 , 18 , 60 , 30 , 138 , 108 , 3 , 16.083 , 31.301 , 48.194 , 31.301 , 48.194 , 0.873 , 0.902 , 55.004 , -0.31655382821873523 , 63.006 , 0.038 , 144.49509552425314
2 , 24.126984126984127 , 0.5 , 0.5 , 21 , 60 , 33 , 141 , 114 , 3 , 13.021 , 30.829 , 44.635 , 30.829 , 44.635 , 0.889 , 0.902 , 55.295 , -0.3108250256924534 , 62.199 , 0.05 , 140.46340621594953
3 , 24.126984126984127 , 0.5 , 0.5 , 21 , 60 , 33 , 141 , 114 , 3 , 13.021 , 30.829 , 44.635 , 30.829 , 44.635 , 0.889 , 0.902 , 55.295 , -0.3108250256924534 , 62.199 , 0.05 , 140.46340621594953
4 , 24.369230769230768 , 0.5 , 0.5 , 39 , 54 , 39 , 147 , 132 , 3 , 5.717 , 30.361 , 37.372 , 30.361 , 37.372 , 0.941 , 0.873 , 55.85 , -0.2741916655163336 , 59.352 , 0.081 , 134.73299433382888
3 , 24.369230769230768 , 0.5 , 0.5 , 39 , 54 , 39 , 147 , 132 , 3 , 5.717 , 30.361 , 37.372 , 30.361 , 37.372 , 0.941 , 0.873 , 55.85 , -0.2741916655163336 , 59.352 , 0.081 , 134.73299433382888
2 , 24.571428571428573 , 0.5 , 0.5 , 30 , 60 , 39 , 150 , 129 , 3 , 8.009 , 29.599 , 38.523 , 29.599 , 38.523 , 0.896 , 0.895 , 56.314 , -0.3037949038415197 , 62.85 , 0.05 , 133.12157431251336
1 , 24.62962962962963 , 0.5 , 0.5 , 18 , 57 , 30 , 132 , 105 , 3 , 16.123 , 33.795 , 50.794 , 33.795 , 50.794 , 0.885 , 0.897 , 56.447 , -0.3087393059911187 , 63.782 , 0.038 , 149.5887388996733
3 , 24.703703703703702 , 0.5 , 0.5 , 36 , 46 , 34 , 128 , 116 , 4 , 4.787 , 27.111 , 33.407 , 27.111 , 33.407 , 0.846 , 0.849 , 56.617 , -0.28944653966702044 , 66.923 , 0.05 , 125.51831770488047
4 , 24.8 , 0.5 , 0.5 , 40 , 48 , 36 , 136 , 124 , 4 , 4.178 , 25.478 , 30.947 , 25.478 , 30.947 , 0.848 , 0.851 , 56.837 , -0.29018075060440257 , 67.025 , 0.05 , 121.42491538031729
6 , 24.88888888888889 , 0.5 , 0.5 , 45 , 42 , 33 , 129 , 120 , 3 , 4.853 , 36.86 , 43.848 , 36.86 , 43.848 , 0.92 , 0.818 , 57.041 , -0.24414733035554453 , 62.001 , 0.05 , 145.70789992388376
