thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,ori_l,ori_theta,best_index,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4189773663177849,4.201678308857414,1.372153785203881,0.0,171.1,5.7,16.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4170665279027534,4.792971169195204,1.556294216801195,7.0,131.8,6.2,12.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4146885201567218,6.37705585878904,0.7869521053431128,3.0,79.7,3.8,16.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3935584321803375,5.4026477393540535,1.365003969186887,3.0,108.5,7.0,10.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3997459810696745,6.889902104204144,0.8185965294578943,2.0,73.6,4.4,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3987120199884165,7.617825113573394,0.6214554423052627,0.0,73.6,4.3,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3507760572102323,6.300035191793135,1.127276525835912,5.0,95.1,4.6,11.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.422012216662769,6.876517526023416,0.8769734323636076,1.0,77.7,6.0,14.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.4024774861375455,7.104582154795134,0.7203286958423027,4.0,72.8,5.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3804363425325698,4.896964921992674,0.8294292319143239,2.0,105.2,6.5,12.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3882412068725934,5.218282885483739,1.1233061260904376,3.0,112.8,6.3,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3546912055954053,4.7170426911046,1.266821018096421,4.0,144.4,7.0,13.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3713248158666441,5.373528846341404,0.8400353395263971,1.0,107.2,6.1,12.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3419056418356179,5.216515367738048,0.9768715969642368,6.0,153.1,7.4,19.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.342731389584518,6.473905017139821,0.603894726173746,7.0,93.4,5.6,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3249171890266814,5.402211827509019,1.1495468359193337,5.0,141.6,7.0,13.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3789846612291313,5.904030197044165,0.7882588194922899,6.0,89.5,6.7,11.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3716448542850896,5.928794013033391,0.7618519624989091,0.0,98.9,6.7,13.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3395732842955191,5.521332190838583,0.9984638992103672,4.0,130.8,7.4,14.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3412515944755162,5.304196999741928,1.097840565264706,4.0,145.5,7.6,16.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3423298938324071,5.050866769955461,1.1659259687208483,1.0,142.4,7.4,12.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3264304336622042,5.819379119452103,1.11483630262344,3.0,119.6,6.9,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3204030975668089,4.575851035245472,1.21505306257677,3.0,156.1,7.8,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3017465612316929,4.821469929213188,1.4421453338944945,2.0,169.3,7.5,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000114328959267,5.267535851740038,1.2494315608699256,0.0,155.8,7.4,12.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3021562288673143,4.624260604721082,1.3723622811494811,6.0,177.4,7.3,11.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3001503946130374,5.158083254257111,1.431372737768144,0.0,149.5,7.0,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3021731129496535,5.086591160135587,1.3431909250347651,4.0,153.5,7.0,10.5
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3090354678611853,4.694801373299738,1.472083498338225,2.0,162.9,7.5,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3126189423751675,4.876074216568711,1.242704858765964,2.0,148.8,6.8,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3081146686339615,4.662962635034731,1.3362003170244257,2.0,163.7,6.9,10.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3029686832807894,4.473405972246265,1.414143816795935,5.0,177.5,7.3,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3006678902646133,4.372720605765518,1.4254767380555389,0.0,184.7,7.3,11.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3014251048717488,4.223435092749543,1.504759027308704,0.0,192.6,7.4,10.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3010881984828833,4.197541814325746,1.4293533131034333,5.0,189.1,7.3,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3026629494418859,4.451411688199845,1.4304396691068648,5.0,177.9,7.4,10.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3008959455866204,4.369464580543784,1.3974014178254706,1.0,181.5,7.4,10.4
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000044552618409,4.316540061317552,1.4813630405314837,1.0,192.3,7.7,11.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000034752018937,4.167111710088036,1.4690968191087337,4.0,199.6,7.6,11.1
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3002627420317365,4.305736230245719,1.5205545492332524,3.0,198.0,7.7,11.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000024082343447,4.250606140603764,1.4763996356932054,3.0,192.8,7.8,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3004103587138588,4.5203721331341775,1.4406056456400105,2.0,182.2,7.5,11.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000146488258457,4.290124850240437,1.425442953799248,2.0,187.2,7.7,10.7
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3008697336529435,4.587273422522033,1.3526882814649417,7.0,171.3,7.6,10.9
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000400265194985,4.593240481125261,1.4494431620459682,1.0,177.8,7.6,11.3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3002537306174574,4.615155772150533,1.445192788396036,0.0,180.3,7.5,11.6
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.300001021816154,4.207543361853294,1.5259987942812343,4.0,197.4,7.7,10.8
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.125,0.3000037378299902,4.152710488318659,1.5361644941916204,2.0,204.1,7.7,11.1
