thigh_left_length,calf_left_length,thigh_right_length,calf_right_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,ik_height,best_index,best_cost,ac1,ac2,ac3
0.18449989693774838,0.2748983158253856,0.21392823568942598,0.24579422899624287,U12,MAD_M6C12,29.949453660790372,6.091228375842786,WPG,SSPG,0.14370022163792676,0.3019356952465638,1,-162.9248394533293,960.5,7.0,40.1
0.16914984332016583,0.3108539307441619,0.20019214664944626,0.25135327575655975,U12,MAD_M6C12,31.1522380914419,4.346403283978355,WPG,CPG,0.143166409546068,0.30903207272174454,3,-181.70125685508103,967.8,8.3,38.9
0.16752780146382357,0.3165314686601288,0.19526400105177114,0.2593744564529996,U12,MAD_M6C12,37.59401335306256,4.598283434209735,WPG,SSPG,0.1326376544462373,0.30019864430048687,3,-208.64468347464808,995.5,6.3,35.1
0.16790071034021017,0.2953461170257889,0.1928641159070859,0.24094420760480484,U12,MAD_M6C12,42.415575926361925,4.854426738472066,WPG,CPG,0.13681963966148408,0.3019115169162148,2,-233.87207896248938,991.4,6.8,35.8
0.16803409737700806,0.339817507284841,0.2020554745034087,0.27681304424340913,U12,MAD_M6C12,46.8364234334118,4.96940131153018,WPG,SSPG,0.1328490891902535,0.3082393560349114,3,-215.22501133407818,983.0,5.4,37.1
0.1754023376066699,0.3325495120228503,0.19377470479111353,0.2807616035616318,U12,MAD_M6C12,44.555807235139724,7.298911198741051,WPG,CPG,0.1392839083290519,0.3003439430058576,1,-200.20399860426795,999.6,6.1,32.4
0.17890495090232866,0.34947108228733503,0.20157821856131056,0.28328136811374016,U12,MAD_M6C12,48.16257090312621,6.563916201031054,WPG,CPG,0.1346833456391766,0.301254757372016,6,-201.4612676344692,984.4,6.6,33.5
0.1635674299997247,0.323555414506318,0.19171212090513398,0.2765725328133393,U12,MAD_M6C12,41.4796426737973,6.685207197830099,WPG,CPG,0.14228028487822345,0.3025548837842403,2,-208.47018424428953,998.6,6.4,35.5
0.17888007370716924,0.33514107554771916,0.20658253187151226,0.2852227395900995,U12,MAD_M6C12,41.78433183963481,10.741757634438319,WPG,CPG,0.14200855877437263,0.3006497763317659,0,-206.04368098207328,999.8,6.6,32.2
0.1719452666658924,0.32016530976785024,0.20729706558490593,0.2630975969094952,U12,MAD_M6C12,43.7704756193292,7.835474226965978,WPG,CPG,0.13219969989825558,0.301718878104832,4,-223.3490629399335,999.6,5.3,31.7
0.1821911123139487,0.31816979494173275,0.21323315366927065,0.250383253749394,U12,MAD_M6C12,37.467848812984236,9.452416071858554,WPG,CPG,0.13450037052604558,0.3071469745722527,0,-172.54863954962119,1000.0,6.5,31.0
0.1696692529359603,0.34339561694086995,0.20691733769552584,0.2810815389272291,U12,MAD_M6C12,39.40396693328917,8.338374898885334,WPG,CPG,0.1321838763776621,0.3101992545716518,6,-195.00578834740665,995.0,5.8,31.0
0.17054926345075838,0.347673780085187,0.20626531371758075,0.2648909663981679,U12,MAD_M6C12,44.505875587506615,9.688894388548638,WPG,CPG,0.13739884232243493,0.30103859357582824,5,-202.39672166253104,994.6,6.5,31.7
0.18319313812407437,0.335273235354223,0.2115597108605272,0.26881873939630213,U12,MAD_M6C12,43.69872019282487,6.823613921926352,WPG,CPG,0.14510880895596243,0.3000536724975369,4,-201.83084625530685,977.8,6.4,34.5
0.17305653451000808,0.34111479376064324,0.2152858866327135,0.2594478071299446,U12,MAD_M6C12,44.43626252454077,8.11157370858232,WPG,CPG,0.13802705703511503,0.3039961817847544,5,-224.73281880389465,999.1,5.8,31.9
0.18047855594682577,0.3182156941871642,0.20437479396629127,0.2667370834709666,U12,MAD_M6C12,41.22912715026559,8.6533075379251,WPG,CPG,0.14114996513204367,0.30932593669091996,2,-191.35810385116486,983.1,6.2,30.0
0.17990150736347255,0.3168484012699838,0.21576966827001717,0.2562193487690389,U12,MAD_M6C12,43.160319995830115,9.41441624158888,WPG,CPG,0.13946455026430968,0.30685830269228875,6,-216.7689082113406,994.8,6.1,30.6
0.17507783692124948,0.3215480777873985,0.22314858759607348,0.25707484182923923,U12,MAD_M6C12,40.72606299772927,6.908962408597955,WPG,CPG,0.1410569869366276,0.3024764453695055,1,-209.3150051637386,943.7,6.2,31.3
0.17874973926355747,0.325175817560674,0.21718152794670834,0.26764327505597585,U12,MAD_M6C12,45.64286040854835,9.255874526460552,WPG,CPG,0.1468711232530499,0.3060033758685355,4,-217.6489119727938,912.1,6.4,29.7
