iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
6 , 12.308970099667775 , 0.5 , 0.5 , 21 , 74 , 43 , 138 , 3 , 12.903 , 12.903 , 16.269 , 16.269 , 0.757 , 0.948 , 28.21 , -0.2959325156394946 , 37.266 , 0.103 , 88.17226756679418
2 , 12.4 , 0.5 , 0.5 , 21 , 63 , 30 , 114 , 3 , 12.992 , 12.992 , 21.788 , 21.788 , 0.731 , 0.941 , 28.419 , -0.3891905397137567 , 38.877 , 0.081 , 92.77976812834675
5 , 12.5 , 0.5 , 0.5 , 21 , 69 , 36 , 126 , 3 , 12.941 , 12.941 , 18.88 , 18.88 , 0.721 , 0.945 , 28.648 , -0.3949996430433178 , 39.734 , 0.081 , 89.82070770205847
5 , 12.597402597402597 , 0.5 , 0.5 , 21 , 76 , 44 , 141 , 3 , 12.89 , 12.89 , 16.261 , 16.261 , 0.759 , 0.949 , 28.871 , -0.3590901924921692 , 38.038 , 0.103 , 88.15093763908177
1 , 12.704081632653061 , 0.5 , 0.5 , 21 , 62 , 28 , 111 , 3 , 13.001 , 13.001 , 23.486 , 23.486 , 0.739 , 0.939 , 29.116 , -0.3444404318226115 , 39.399 , 0.081 , 94.48757107210612
4 , 12.7875 , 0.5 , 0.5 , 24 , 69 , 30 , 123 , 3 , 10.775 , 10.775 , 20.954 , 20.954 , 0.756 , 0.944 , 29.307 , -0.25799104905735903 , 38.766 , 0.103 , 90.72936007865674
4 , 12.892857142857142 , 0.5 , 0.5 , 21 , 74 , 40 , 135 , 3 , 12.903 , 12.903 , 17.771 , 17.771 , 0.763 , 0.947 , 29.548 , -0.3110879562087112 , 38.726 , 0.103 , 89.67453201035184
4 , 13.0 , 0.6 , 0.6 , 18 , 60 , 30 , 108 , 3 , 11.169 , 11.169 , 16.766 , 16.766 , 0.741 , 0.936 , 29.794 , -0.3827710141997848 , 40.208 , 0.103 , 86.93440371884232
5 , 13.090909090909088 , 0.6 , 0.6 , 18 , 63 , 33 , 114 , 3 , 11.144 , 11.144 , 15.563 , 15.563 , 0.738 , 0.938 , 30.002 , -0.29414570812152563 , 40.653 , 0.103 , 85.70706362455488
5 , 13.181184668989546 , 0.5 , 0.5 , 21 , 76 , 41 , 138 , 3 , 12.89 , 12.89 , 17.715 , 17.715 , 0.765 , 0.947 , 30.209 , -0.19396084917125067 , 39.489 , 0.103 , 89.60486300631221
5 , 13.291666666666666 , 0.6 , 0.6 , 18 , 59 , 28 , 105 , 3 , 11.178 , 11.178 , 18.054 , 18.054 , 0.746 , 0.934 , 30.462 , -0.2964663822627336 , 40.834 , 0.103 , 88.23203857216325
8 , 13.370689655172415 , 0.5 , 0.5 , 24 , 70 , 29 , 123 , 3 , 10.769 , 10.769 , 22.243 , 22.243 , 0.763 , 0.943 , 30.643 , -0.08689556926796221 , 40.161 , 0.103 , 92.01173826470827
3 , 13.529411764705882 , 0.5 , 0.5 , 21 , 71 , 34 , 126 , 3 , 12.925 , 12.925 , 20.917 , 20.917 , 0.775 , 0.943 , 31.007 , -0.08225690131676444 , 40.009 , 0.103 , 92.84184915314275
2 , 13.6 , 0.5 , 0.5 , 24 , 72 , 30 , 126 , 3 , 10.756 , 10.756 , 21.888 , 21.888 , 0.763 , 0.944 , 31.169 , -0.3807650123877471 , 40.851 , 0.103 , 91.64455438073591
2 , 13.620689655172416 , 0.6 , 0.6 , 18 , 61 , 29 , 108 , 3 , 11.16 , 11.16 , 17.835 , 17.835 , 0.747 , 0.935 , 31.216 , 0.41300826833207693 , 41.788 , 0.103 , 87.99490674109461
4 , 13.812244897959184 , 0.5 , 0.5 , 21 , 73 , 35 , 129 , 3 , 12.911 , 12.911 , 20.733 , 20.733 , 0.776 , 0.944 , 31.655 , -0.2539720124116853 , 40.793 , 0.103 , 92.64345425483313
2 , 13.87192118226601 , 0.5 , 0.5 , 21 , 67 , 29 , 117 , 3 , 12.957 , 12.957 , 24.275 , 24.275 , 0.747 , 0.94 , 31.792 , -0.10231792868197431 , 42.56 , 0.081 , 95.23212136309694
4 , 13.995535714285714 , 0.5 , 0.5 , 24 , 71 , 28 , 123 , 3 , 10.763 , 10.763 , 23.649 , 23.649 , 0.771 , 0.942 , 32.075 , -0.33213136680061356 , 41.602 , 0.103 , 93.41160756078716
5 , 14.095238095238095 , 0.5 , 0.5 , 21 , 75 , 36 , 132 , 3 , 12.897 , 12.897 , 20.561 , 20.561 , 0.777 , 0.945 , 32.304 , -0.328779944501577 , 41.575 , 0.103 , 92.45775445625434
3 , 14.21551724137931 , 0.5 , 0.5 , 24 , 73 , 29 , 126 , 3 , 10.75 , 10.75 , 23.221 , 23.221 , 0.77 , 0.943 , 32.58 , -0.2225624780618935 , 42.312 , 0.103 , 92.97105452741424
6 , 14.285714285714283 , 0.6 , 0.6 , 18 , 62 , 28 , 108 , 3 , 11.152 , 11.152 , 19.001 , 19.001 , 0.753 , 0.934 , 32.74 , -0.23436734200100134 , 43.479 , 0.103 , 89.15316390218146
2 , 14.414746543778802 , 0.5 , 0.5 , 21 , 71 , 31 , 123 , 3 , 12.925 , 12.925 , 23.591 , 23.591 , 0.788 , 0.941 , 33.036 , -0.22300690833816272 , 41.924 , 0.103 , 95.51598304603237
1 , 14.53061224489796 , 0.5 , 0.5 , 21 , 68 , 28 , 117 , 3 , 12.949 , 12.949 , 25.826 , 25.826 , 0.756 , 0.939 , 33.302 , -0.07338527952484175 , 44.05 , 0.081 , 96.77469551594473
2 , 14.648979591836735 , 0.5 , 0.5 , 21 , 76 , 35 , 132 , 3 , 12.89 , 12.89 , 21.605 , 21.605 , 0.783 , 0.944 , 33.573 , 0.11580649554203892 , 42.877 , 0.103 , 93.49492199300212
3 , 14.6875 , 0.5 , 0.5 , 21 , 73 , 32 , 126 , 3 , 12.911 , 12.911 , 23.283 , 23.283 , 0.788 , 0.942 , 33.661 , -0.2458852547655267 , 42.717 , 0.103 , 95.1934536496297
2 , 14.793103448275861 , 0.5 , 0.5 , 21 , 70 , 29 , 120 , 3 , 12.933 , 12.933 , 25.392 , 25.392 , 0.797 , 0.939 , 33.903 , -0.29760187884720096 , 42.538 , 0.103 , 97.32502848018393
4 , 14.875 , 0.5 , 0.5 , 24 , 74 , 28 , 126 , 3 , 10.745 , 10.745 , 24.674 , 24.674 , 0.778 , 0.942 , 34.091 , -0.12446929599155682 , 43.819 , 0.103 , 94.41893394977616
4 , 14.96103896103896 , 0.5 , 0.5 , 21 , 75 , 33 , 129 , 3 , 12.897 , 12.897 , 22.996 , 22.996 , 0.789 , 0.943 , 34.288 , 0.01840675742354725 , 43.458 , 0.103 , 94.89233411109534
2 , 15.057142857142857 , 0.5 , 0.5 , 21 , 72 , 30 , 123 , 3 , 12.918 , 12.918 , 24.989 , 24.989 , 0.796 , 0.94 , 34.508 , 0.061299665298870265 , 43.352 , 0.103 , 96.90655933840482
4 , 15.32258064516129 , 0.5 , 0.5 , 21 , 74 , 31 , 126 , 3 , 12.903 , 12.903 , 24.613 , 24.613 , 0.796 , 0.941 , 35.117 , 0.8579471783036917 , 44.117 , 0.103 , 96.51681351039363
2 , 15.32258064516129 , 0.5 , 0.5 , 21 , 74 , 31 , 126 , 3 , 12.903 , 12.903 , 24.613 , 24.613 , 0.796 , 0.941 , 35.117 , -0.14205282169630473 , 44.117 , 0.103 , 96.51681351039363
2 , 15.32258064516129 , 0.5 , 0.5 , 21 , 74 , 31 , 126 , 3 , 12.903 , 12.903 , 24.613 , 24.613 , 0.796 , 0.941 , 35.117 , 0.4063342750770881 , 44.117 , 0.103 , 96.51681351039363
1 , 15.489795918367347 , 0.5 , 0.5 , 21 , 71 , 28 , 120 , 3 , 12.925 , 12.925 , 26.997 , 26.997 , 0.806 , 0.938 , 35.5 , -0.260873494021734 , 44.045 , 0.103 , 98.92258984572665
2 , 15.589285714285714 , 0.5 , 0.5 , 21 , 76 , 32 , 129 , 3 , 12.89 , 12.89 , 24.264 , 24.264 , 0.796 , 0.942 , 35.728 , -0.26119547863925546 , 44.884 , 0.103 , 96.15356159668937
2 , 15.74384236453202 , 0.5 , 0.5 , 21 , 73 , 29 , 123 , 3 , 12.911 , 12.911 , 26.51 , 26.51 , 0.805 , 0.939 , 36.082 , 0.0745899676286294 , 44.822 , 0.103 , 98.42048870939374
2 , 15.74384236453202 , 0.5 , 0.5 , 21 , 73 , 29 , 123 , 3 , 12.911 , 12.911 , 26.51 , 26.51 , 0.805 , 0.939 , 36.082 , 0.19774267698740305 , 44.822 , 0.103 , 98.42048870939374
3 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0.804 , 0.94 , 36.669 , 0.6353821395995648 , 45.608 , 0.103 , 97.95387322179607
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0.804 , 0.94 , 36.669 , -0.36461786040043165 , 45.608 , 0.103 , 97.95387322179607
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0.804 , 0.94 , 36.669 , 0.6353821395987299 , 45.608 , 0.103 , 97.95387322179607
3 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.897 , 12.897 , 26.057 , 26.057 , 0.804 , 0.94 , 36.669 , 1.635382139598744 , 45.608 , 0.103 , 97.95387322179607
1 , 16.479591836734695 , 0.5 , 0.5 , 21 , 74 , 28 , 123 , 3 , 12.903 , 12.903 , 28.17 , 28.17 , 0.814 , 0.938 , 37.768 , 1.435788419480956 , 46.398 , 0.103 , 100.07299160545946
1 , 16.479591836734695 , 0.5 , 0.5 , 21 , 74 , 28 , 123 , 3 , 12.903 , 12.903 , 28.17 , 28.17 , 0.814 , 0.938 , 37.768 , 0.4357884194809419 , 46.398 , 0.103 , 100.07299160545946
1 , 16.479591836734695 , 0.5 , 0.5 , 21 , 74 , 28 , 123 , 3 , 12.903 , 12.903 , 28.17 , 28.17 , 0.814 , 0.938 , 37.768 , -0.15604831521368218 , 46.398 , 0.103 , 100.07299160545946
1 , 16.479591836734695 , 0.5 , 0.5 , 21 , 74 , 28 , 123 , 3 , 12.903 , 12.903 , 28.17 , 28.17 , 0.814 , 0.938 , 37.768 , 0.843951684786332 , 46.398 , 0.103 , 100.07299160545946
2 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , -0.11975699083634728 , 47.145 , 0.103 , 99.51825569698838
2 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , 0.39748438847333356 , 47.145 , 0.103 , 99.51825569698838
2 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , 1.3974843884733477 , 47.145 , 0.103 , 99.51825569698838
1 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , 2.397484388473362 , 47.145 , 0.103 , 99.51825569698838
1 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , 3.397484388473376 , 47.145 , 0.103 , 99.51825569698838
1 , 16.724137931034484 , 0.5 , 0.5 , 21 , 76 , 29 , 126 , 3 , 12.89 , 12.89 , 27.628 , 27.628 , 0.813 , 0.939 , 38.329 , 4.397484388473391 , 47.145 , 0.103 , 99.51825569698838
4 , 8.0 , 0.5 , 0.5 , 24 , 56 , 40 , 120 , 3 , 10.876 , 10.876 , 11.71 , 11.71 , 0.605 , 0.951 , 18.335 , -0.4377663760215583 , 30.306 , 0.05 , 78.58605765300265
8 , 8.098765432098766 , 0.5 , 0.5 , 27 , 69 , 54 , 150 , 3 , 9.176 , 9.176 , 9.044 , 9.044 , 0.689 , 0.959 , 18.561 , -0.40271219796179536 , 26.939 , 0.103 , 77.22060364721352
5 , 8.2 , 0.5 , 0.5 , 21 , 63 , 60 , 144 , 3 , 12.992 , 12.992 , 9.405 , 9.405 , 0.674 , 0.954 , 18.793 , -0.4166764294344728 , 27.883 , 0.081 , 80.39662399279698
6 , 8.298245614035087 , 0.5 , 0.5 , 27 , 72 , 57 , 156 , 3 , 9.16 , 9.16 , 8.884 , 8.884 , 0.691 , 0.96 , 19.018 , -0.39713974370197025 , 27.522 , 0.103 , 77.0444330826439
10 , 8.4 , 0.5 , 0.5 , 27 , 54 , 30 , 111 , 3 , 9.278 , 9.278 , 14.506 , 14.506 , 0.662 , 0.948 , 19.251 , -0.41657325078888907 , 29.08 , 0.081 , 81.78387543104522
6 , 8.5 , 0.5 , 0.5 , 24 , 60 , 42 , 126 , 3 , 10.841 , 10.841 , 11.836 , 11.836 , 0.663 , 0.952 , 19.481 , -0.41913210998156414 , 29.383 , 0.081 , 80.67768418373836
8 , 8.6 , 0.5 , 0.5 , 30 , 56 , 28 , 114 , 3 , 8.034 , 8.034 , 14.869 , 14.869 , 0.657 , 0.948 , 19.71 , -0.41832212720105877 , 30.0 , 0.081 , 80.90375172302439
6 , 8.7 , 0.5 , 0.5 , 24 , 63 , 45 , 132 , 3 , 10.817 , 10.817 , 11.451 , 11.451 , 0.664 , 0.953 , 19.939 , -0.41951679126809777 , 30.029 , 0.081 , 80.2679837835804
3 , 8.8 , 0.5 , 0.5 , 21 , 56 , 40 , 117 , 3 , 13.063 , 13.063 , 13.367 , 13.367 , 0.627 , 0.948 , 20.168 , -0.42801160134989236 , 32.166 , 0.05 , 82.43026630698424
5 , 8.90625 , 0.5 , 0.5 , 24 , 66 , 48 , 138 , 3 , 10.796 , 10.796 , 11.127 , 11.127 , 0.666 , 0.954 , 20.412 , -0.3571094723872933 , 30.649 , 0.081 , 79.92281859365832
7 , 8.999999999999998 , 0.6 , 0.6 , 18 , 48 , 33 , 99 , 3 , 11.295 , 11.295 , 11.768 , 11.768 , 0.609 , 0.939 , 20.626 , -0.42864299538238093 , 33.869 , 0.05 , 79.06304981024685
