iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, NrBig, NrSmall, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingBigMM, fwRingSmallMM,  mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
6 , 33.0 , 0.7 , 0.7 , 24 , 36 , 28 , 96 , 88 , 4 , 6.396 , 39.029 , 47.189 , 39.029 , 47.189 , 1.304 , 0.786 , 113.446 , -0.09645214037983729 , 86.998 , 0.05 , 167.71843417864727
5 , 33.142857142857146 , 0.5 , 0.5 , 70 , 40 , 35 , 150 , 145 , 5 , 2.628 , 39.053 , 43.051 , 39.053 , 43.051 , 1.473 , 0.73 , 113.937 , -0.0026409806612495146 , 77.35 , 0.103 , 166.6037269608666
2 , 33.291666666666664 , 0.5 , 0.5 , 48 , 51 , 42 , 150 , 141 , 3 , 6.672 , 62.257 , 70.596 , 62.257 , 70.596 , 1.623 , 0.818 , 114.448 , -0.012966453666388933 , 70.516 , 0.081 , 216.35269696087386
1 , 33.476190476190474 , 0.5 , 0.5 , 18 , 57 , 36 , 132 , 111 , 3 , 24.184 , 69.67 , 92.852 , 69.67 , 92.852 , 1.578 , 0.881 , 115.083 , -0.06961493745096559 , 72.93 , 0.038 , 244.0223029467164
1 , 33.476190476190474 , 0.5 , 0.5 , 18 , 57 , 36 , 132 , 111 , 3 , 24.184 , 69.67 , 92.852 , 69.67 , 92.852 , 1.578 , 0.881 , 115.083 , -0.06961493745096559 , 72.93 , 0.038 , 244.0223029467164
4 , 33.583333333333336 , 0.7 , 0.7 , 24 , 39 , 30 , 102 , 93 , 3 , 8.487 , 48.984 , 59.412 , 48.984 , 59.412 , 1.397 , 0.803 , 115.451 , -0.07735907246788898 , 82.642 , 0.05 , 189.89550623663442
2 , 33.785714285714285 , 0.5 , 0.5 , 21 , 66 , 42 , 153 , 129 , 3 , 19.448 , 59.827 , 78.04 , 59.827 , 78.04 , 1.588 , 0.895 , 116.147 , -0.07559364227248222 , 73.14 , 0.05 , 219.36690321573798
2 , 33.785714285714285 , 0.5 , 0.5 , 21 , 66 , 42 , 153 , 129 , 3 , 19.448 , 59.827 , 78.04 , 59.827 , 78.04 , 1.588 , 0.895 , 116.147 , -0.07559364227248222 , 73.14 , 0.05 , 219.36690321573798
2 , 33.785714285714285 , 0.5 , 0.5 , 21 , 66 , 42 , 153 , 129 , 3 , 19.448 , 59.827 , 78.04 , 59.827 , 78.04 , 1.588 , 0.895 , 116.147 , -0.07559364227248222 , 73.14 , 0.05 , 219.36690321573798
2 , 34.0 , 0.5 , 0.5 , 30 , 51 , 39 , 132 , 120 , 3 , 12.107 , 71.964 , 85.687 , 71.964 , 85.687 , 1.601 , 0.845 , 116.883 , -0.03759282582105494 , 73.006 , 0.05 , 239.15112998428094
2 , 34.0 , 0.5 , 0.5 , 30 , 51 , 39 , 132 , 120 , 3 , 12.107 , 71.964 , 85.687 , 71.964 , 85.687 , 1.601 , 0.845 , 116.883 , -0.03759282582105494 , 73.006 , 0.05 , 239.15112998428094
5 , 34.22222222222222 , 0.6 , 0.6 , 45 , 35 , 30 , 115 , 110 , 5 , 3.065 , 37.499 , 42.21 , 37.499 , 42.21 , 1.372 , 0.722 , 117.647 , -0.03110560640742105 , 85.749 , 0.081 , 163.20831003871885
4 , 34.34615384615385 , 0.5 , 0.5 , 39 , 57 , 45 , 153 , 141 , 3 , 8.554 , 62.043 , 71.757 , 62.043 , 71.757 , 1.642 , 0.85 , 118.073 , -0.02779686781383406 , 71.908 , 0.081 , 217.30023808420327
4 , 34.34615384615385 , 0.5 , 0.5 , 39 , 57 , 45 , 153 , 141 , 3 , 8.554 , 62.043 , 71.757 , 62.043 , 71.757 , 1.642 , 0.85 , 118.073 , -0.02779686781383406 , 71.908 , 0.081 , 217.30023808420327
5 , 34.54545454545455 , 0.6 , 0.6 , 33 , 45 , 36 , 123 , 114 , 3 , 7.456 , 55.603 , 64.874 , 55.603 , 64.874 , 1.537 , 0.812 , 118.759 , -0.03665538176871708 , 77.267 , 0.081 , 203.97720466851942
5 , 34.54545454545455 , 0.6 , 0.6 , 33 , 45 , 36 , 123 , 114 , 3 , 7.456 , 55.603 , 64.874 , 55.603 , 64.874 , 1.537 , 0.812 , 118.759 , -0.03665538176871708 , 77.267 , 0.081 , 203.97720466851942
4 , 34.75555555555555 , 0.5 , 0.5 , 45 , 51 , 42 , 147 , 138 , 3 , 7.207 , 66.362 , 75.243 , 66.362 , 75.243 , 1.657 , 0.817 , 119.481 , -0.0010043158136737729 , 72.107 , 0.081 , 225.10449937766413
3 , 34.75555555555555 , 0.5 , 0.5 , 45 , 51 , 42 , 147 , 138 , 3 , 7.207 , 66.362 , 75.243 , 66.362 , 75.243 , 1.657 , 0.817 , 119.481 , -0.0010043158136737729 , 72.107 , 0.081 , 225.10449937766413
3 , 34.97142857142857 , 0.6 , 0.6 , 21 , 51 , 36 , 123 , 108 , 3 , 13.671 , 55.05 , 69.135 , 55.05 , 69.135 , 1.501 , 0.858 , 120.223 , -0.07997007521546579 , 80.095 , 0.05 , 205.6852047680394
5 , 35.0 , 0.7 , 0.7 , 18 , 42 , 30 , 102 , 90 , 3 , 12.541 , 50.208 , 63.842 , 50.208 , 63.842 , 1.421 , 0.83 , 120.321 , -0.08736160741793902 , 84.673 , 0.05 , 195.5498398990665
2 , 35.1 , 0.5 , 0.5 , 24 , 54 , 39 , 132 , 117 , 3 , 16.343 , 73.714 , 90.623 , 73.714 , 90.623 , 1.615 , 0.862 , 120.665 , -0.044675803844739015 , 74.715 , 0.038 , 245.8366049405777
3 , 35.2 , 0.6 , 0.6 , 18 , 48 , 33 , 114 , 99 , 3 , 16.942 , 60.206 , 77.521 , 60.206 , 77.521 , 1.497 , 0.854 , 121.009 , -0.07780887233038036 , 80.834 , 0.038 , 219.22776509957345
4 , 35.285714285714285 , 0.5 , 0.5 , 21 , 57 , 39 , 135 , 117 , 3 , 19.578 , 71.98 , 91.102 , 71.98 , 91.102 , 1.619 , 0.874 , 121.303 , -0.05159984234561321 , 74.925 , 0.038 , 244.58178939637838
6 , 35.357142857142854 , 0.6 , 0.6 , 21 , 45 , 33 , 111 , 99 , 3 , 13.763 , 62.805 , 77.867 , 62.805 , 77.867 , 1.503 , 0.836 , 121.549 , -0.06395962371958186 , 80.871 , 0.038 , 222.17188631306328
3 , 35.46666666666667 , 0.5 , 0.5 , 27 , 57 , 42 , 141 , 126 , 3 , 13.881 , 69.392 , 83.792 , 69.392 , 83.792 , 1.632 , 0.865 , 121.925 , -0.04126405656932086 , 74.709 , 0.05 , 234.68388973597138
5 , 35.65 , 0.5 , 0.5 , 40 , 46 , 38 , 132 , 124 , 4 , 6.28 , 57.716 , 65.748 , 57.716 , 65.748 , 1.511 , 0.799 , 122.556 , -0.036535200014607694 , 81.109 , 0.05 , 204.9637526924875
5 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 5.151 , 36.846 , 43.348 , 36.846 , 43.348 , 1.389 , 0.791 , 122.777 , -0.07162344115184216 , 88.392 , 0.081 , 163.69420643468374
4 , 35.714285714285715 , 0.7 , 0.7 , 28 , 40 , 32 , 108 , 100 , 4 , 5.151 , 36.846 , 43.348 , 36.846 , 43.348 , 1.389 , 0.791 , 122.777 , -0.07162344115184216 , 88.392 , 0.081 , 163.69420643468374
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 16.839 , 54.94 , 71.168 , 54.94 , 71.168 , 1.522 , 0.869 , 123.759 , -0.08013567673319 , 81.313 , 0.05 , 207.6083757112374
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 16.839 , 54.94 , 71.168 , 54.94 , 71.168 , 1.522 , 0.869 , 123.759 , -0.08013567673319 , 81.313 , 0.05 , 207.6083757112374
2 , 36.0 , 0.6 , 0.6 , 18 , 54 , 36 , 126 , 108 , 3 , 16.839 , 54.94 , 71.168 , 54.94 , 71.168 , 1.522 , 0.869 , 123.759 , -0.08013567673319 , 81.313 , 0.05 , 207.6083757112374
