Thigh,Calf,Hip motor,Knee motor,Hip ratio,Knee ratio,Gearbox hip,Gearbox knee,Efficiency hip,Efficiency knee,Torso distance,ik_height,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002037874526055,0.0582211253847963,10.608750264472514,0.26925428362792964,0.17520409655001098,90762e45,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002037874526055,0.0577919667130085,10.608750264472514,0.26925428362792964,0.17520409655001098,90762e45,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002037874526055,0.05769615428787677,10.608750264472514,0.26925428362792964,0.17520409655001098,90762e45,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30002037874526055,0.05911079871380005,10.608750264472514,0.26925428362792964,0.17520409655001098,90762e45,744.9,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003693873595444,0.040413608840952145,10.612040202161523,0.26926664673822726,0.17604715083461944,8aac0931,746.0,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003693873595444,0.05804583550961392,10.612040202161523,0.26926664673822726,0.17604715083461944,8aac0931,746.0,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003693873595444,0.057780658312016744,10.612040202161523,0.26926664673822726,0.17604715083461944,8aac0931,746.0,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003693873595444,0.057657000098483506,10.612040202161523,0.26926664673822726,0.17604715083461944,8aac0931,746.0,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003693873595444,0.062002416206501584,10.612040202161523,0.26926664673822726,0.17604715083461944,8aac0931,746.0,2.4,10.0
0.297,0.302,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.125,0.30003116829712645,0.058531996214751664,10.611870826141624,0.26926233861546767,0.17605313031352904,e00bc25c,744.9,2.4,10.0
