Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Efficiency left,Efficiency right,Torso distance,ik_height,ori_l,ori_theta,Best X velocity,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.1500003212603772,0.1509322159012009,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0728144036856623,0.2909325371615782,5.184814198002668,-1.5022540932031816,30.73679352022468,16.638857142870425,0.0580812483382216,0.4646825974267594,9ad18a4d,169.7,4.8,49.6
0.1500003212603772,0.1509322159012009,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0728144036856623,0.2909325371615782,5.184814198002668,-1.5022540932031816,30.96976271777044,16.638857142870425,0.0580812483382216,0.4646825974267594,9ad18a4d,169.7,4.8,49.6
0.1532651649011701,0.1503528799212331,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0807488928137834,0.2936180448224033,4.012272911348786,-1.320498369746381,31.90059514460709,17.12110897282153,0.0565189046656036,0.4491162641737578,a199e3e7,146.0,4.9,48.9
0.1532651649011701,0.1503528799212331,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0807488928137834,0.2936180448224033,4.012272911348786,-1.320498369746381,30.487483504443475,17.12110897282153,0.0565189046656036,0.4491162641737578,a199e3e7,146.0,4.9,48.9
0.1532651649011701,0.1503528799212331,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0807488928137834,0.2936180448224033,4.012272911348786,-1.320498369746381,29.948014996646247,17.12110897282153,0.0565189046656036,0.4491162641737578,a199e3e7,146.0,4.9,48.9
0.1532651649011701,0.1503528799212331,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0807488928137834,0.2936180448224033,4.012272911348786,-1.320498369746381,30.04785604455263,17.12110897282153,0.0565189046656036,0.4491162641737578,a199e3e7,146.0,4.9,48.9
0.1532651649011701,0.1503528799212331,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0807488928137834,0.2936180448224033,4.012272911348786,-1.320498369746381,28.918622381200954,17.12110897282153,0.0565189046656036,0.4491162641737578,a199e3e7,146.0,4.9,48.9
0.150276249032675,0.1505703822885818,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0845356451802035,0.2908466313212568,4.788301429581149,-1.542362841271758,32.32421489401925,18.93521225302693,0.0565465827378887,0.4492771043006516,2681ea84,79.7,4.6,49.7
0.150276249032675,0.1505703822885818,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0845356451802035,0.2908466313212568,4.788301429581149,-1.542362841271758,25.757309399626028,18.93521225302693,0.0565465827378887,0.4492771043006516,2681ea84,79.7,4.6,49.7
0.150276249032675,0.1505703822885818,U10,U10,6.0,6.0,SSPG,SSPG,0.952,0.952,0.0845356451802035,0.2908466313212568,4.788301429581149,-1.542362841271758,30.74671641555672,18.93521225302693,0.0565465827378887,0.4492771043006516,2681ea84,79.7,4.6,49.7
