Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration, best_index, best_cost, v2_c1,v2_c2,v2_c3,v4_c1,v4_c2,v4_c3,v6_c1,v6_c2,v6_c3
0.21945161068086033,0.3054666011205274,VT8020,MAD_M6C12,4.339404877626342,4.046232472933264,CPG,CPG,0.08143295944605373,0.052040496548884256,1,1.8938154270457859,153.6,7.2,29.7,112.3,5.3,37.0,114.2,4.9,45.3
0.22397076331293891,0.30854773648145994,MN8014,MAD_M6C12,4.006305030199494,4.714148394871196,SSPG,CPG,0.08271744068517596,0.052244610236139855,5,1.5454386886183369,108.3,6.9,35.5,165.2,5.9,35.9,140.6,3.8,43.3
0.22134189942783683,0.32094537311798166,MN8014,MAD_M6C12,4.2890120187955585,4.553560358137884,CPG,SSPG,0.08976074233826074,0.050260208377186893,6,1.3965652024113457,120.0,5.5,31.0,145.5,5.3,32.6,161.3,4.2,39.5
0.21574405561526555,0.31846427942041333,MN8014,MAD_M6C12,5.600962170386117,6.480000633751814,SSPG,CPG,0.09579275726540823,0.057737996261245164,5,2.2556690803761135,92.3,5.4,30.2,180.1,5.3,34.9,100.0,3.8,42.4
0.2199000869648388,0.3278704156636927,MN8014,MAD_M6C12,4.0149921071858214,4.386132552655612,SSPG,SSPG,0.1026348104303586,0.051203756741377976,6,1.5115461915470603,102.7,4.9,32.2,183.7,5.9,39.2,144.8,3.9,42.4
0.1951027248892152,0.33379384102977516,VT8020,MAD_M6C12,4.898206580161145,4.635999943253742,CPG,SSPG,0.10844674306976887,0.05013481079391188,4,1.8536761564987296,85.7,4.6,32.9,184.6,5.9,40.9,134.4,4.8,44.0
0.21497601454544837,0.3473263373755717,VT8020,MAD_M6C12,5.1841043430188485,4.16480445614338,SSPG,CPG,0.1225923989475954,0.057410238081827464,6,1.4559500350693013,74.5,4.0,35.4,174.4,5.9,40.4,147.5,3.3,45.2
0.2149411942762444,0.3331830001242195,VT8020,MAD_M6C12,4.659271333526488,4.742568280059618,CPG,CPG,0.1220098819689527,0.060680342420616304,6,1.8024030119437406,73.9,5.6,34.0,233.2,6.0,42.6,163.9,3.0,40.5
0.22288982610657887,0.33123433547613595,MN8014,MAD_M6C12,4.328019896801347,4.302301840001194,CPG,CPG,0.11252778007496804,0.05427008607362509,6,1.5433723667319332,67.4,5.9,31.5,188.3,5.8,40.3,191.4,4.1,43.3
0.21986115567007064,0.34062756476474715,MN8014,MAD_M6C12,4.006673665672653,5.132669305766354,SSPG,CPG,0.12470566487849755,0.05049704434339474,2,1.8661303083967566,64.9,5.7,34.8,202.2,6.8,42.0,142.0,5.3,44.1
0.21828982780508913,0.34363515682593443,VT8020,MAD_M6C12,4.549604740821563,4.016955631315887,CPG,CPG,0.11613894004415996,0.05044456075556037,1,1.4726565346469032,56.6,5.4,36.7,171.6,6.2,41.9,123.0,4.8,42.5
0.22567363032952698,0.3290321546285885,MN8014,MAD_M6C12,5.006828848252739,5.019328482117231,SSPG,SSPG,0.11873933131864259,0.050553522490622456,3,1.48730290589953,73.1,6.4,37.1,180.6,5.9,41.3,149.5,4.7,46.1
0.2268052223526971,0.33789466907422194,MN8014,MAD_M6C12,4.196508408593427,5.710922859477529,SSPG,SSPG,0.11165607350996654,0.05090141057030368,5,1.816628521012245,91.4,6.4,36.0,149.0,6.7,39.2,170.1,4.8,43.6
