thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,best_index,best_cost,ac1,ac2,ac3
0.34959742837238245,0.15003512558678975,U8,MAD_M6C12,26.673296101866352,6.397615217439922,WPG,CPG,0.11678165071180203,1,-2.4943857157782032,498.2,8.5,36.5
0.3498694738272718,0.1504135445989207,U8,MAD_M6C12,27.181124962040187,6.192694413051159,WPG,CPG,0.11803797656067574,3,-2.5752390164832137,544.6,8.5,34.5
0.34977024648041755,0.15065833756172006,U8,MAD_M6C12,27.512802673423003,6.0267847523052245,WPG,SSPG,0.12001294828686547,0,-2.5034531827867,473.3,8.8,36.9
0.3499884074086644,0.1500177250628389,U8,MAD_M6C12,25.483435580417385,5.880105565172043,WPG,SSPG,0.11650449183472891,6,-2.585149167732749,503.9,8.4,36.6
0.3499832699919989,0.15041122547404434,U8,MAD_M6C12,27.431257613626023,6.565271754828905,WPG,CPG,0.11541921326601806,3,-2.548374885011947,497.7,8.8,35.6
0.3499850634229044,0.15049560537890694,U8,MAD_M6C12,27.9015270432648,6.612809535641217,WPG,CPG,0.11534304293647467,2,-2.507800717355642,493.5,8.5,36.2
0.34985229066375656,0.15088067196915492,U8,MAD_M6C12,26.730848737524664,6.17673400979845,WPG,CPG,0.1171103501691238,0,-2.549389434880463,508.7,8.5,36.5
0.34990956208544843,0.1505621103911191,U8,MAD_M6C12,28.333714574683857,7.158105832575465,WPG,CPG,0.11830860332382026,4,-2.5448733511017423,502.7,8.5,35.6
0.34964666251261534,0.15101016576373485,U8,MAD_M6C12,28.327250605040344,6.728824140392756,WPG,CPG,0.11982516339060839,4,-2.537158713909279,522.4,8.7,35.4
0.3496426987928055,0.15081412141798162,U8,MAD_M6C12,27.407250995899616,5.962094991177118,WPG,SSPG,0.12080625659220795,3,-2.4904297478162407,519.4,8.5,34.9
0.34988544156015516,0.15014611618495377,U8,MAD_M6C12,27.99642120055029,6.028387356884337,WPG,SSPG,0.11586041472673834,0,-2.5514131201603796,494.0,8.4,36.5
0.34995390859264963,0.15034566491105958,U8,MAD_M6C12,29.092122386611123,6.310054047933667,WPG,CPG,0.11448577526822692,0,-2.5282026917340215,495.0,8.6,36.3
0.3499767115924585,0.15048405099890674,U8,MAD_M6C12,28.269365788607068,6.672948139927671,WPG,CPG,0.11613972589679128,0,-2.5679173430522733,489.1,8.3,36.3
0.34999913945466643,0.15000000285167947,U8,MAD_M6C12,27.850724755534223,6.006227415760626,WPG,SSPG,0.11542204060977462,3,-2.525513894652158,479.9,8.4,36.6
0.3499842901048718,0.15031075368042993,U8,MAD_M6C12,28.674190737164977,6.106938198490443,WPG,SSPG,0.11710055604259456,7,-2.5674172857068784,489.7,8.5,35.8
0.34985141331012193,0.15025405607849024,U8,MAD_M6C12,29.049752886176954,5.990415754083687,WPG,SSPG,0.11693460139903834,4,-2.568403297884519,499.7,8.5,35.7
0.34999923899960783,0.1504821179873295,U8,MAD_M6C12,28.002389445486617,6.109603282544684,WPG,SSPG,0.11278315877343184,1,-2.571613367688257,499.4,8.6,36.7
0.34997608472344,0.15056421469357775,U8,MAD_M6C12,28.682510818020923,5.857818370102364,WPG,SSPG,0.11417913108882033,7,-2.5110999360104644,508.0,8.7,36.5
0.3498841153585069,0.15007475904168194,U8,MAD_M6C12,29.58565367094858,6.234514497790134,WPG,CPG,0.11525840066986213,6,-2.571892686822985,516.2,8.6,35.3
