Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,target_v1,actual_v1,tracking_err1,energy1,target_v2,actual_v2,tracking_err2,energy2,target_v3,actual_v3,tracking_err3,energy3,total_tracking_error,total_energy,unique_id,ac1,ac2,ac3
0.23245366118685667,0.25569905850945296,U12,MN8014,14.189386496710256,24.905309518807613,WPG,WPG,0.08184663874940383,0.10762522326938587,1.5,0.19830903946218717,1.694399356745854,39.74414036499983,3.0,0.20488288490961284,7.812679687071209,39.74414036499983,4.5,0.1999222217583699,18.490668898927474,39.74414036499982,61.779888273603504,158.97656145999935,6797634b,214.5,5.4,24.6
0.25178523084105287,0.2688454060361258,U12,MN8014,11.016277588235841,21.11112988798267,CPG,WPG,0.10747153552195779,0.10864869197871847,1.5,1.8847196004023903,0.14800917093377486,34.55312567216571,3.0,1.8232949407324908,1.3846347965057524,25.98154173883563,4.5,1.8465003623140865,7.041060327199274,34.55312567216573,24.99960693290951,121.06933482200299,0ac930ed,178.7,4.3,20.0
0.2247350969977847,0.286284706663557,U12,VT8020,16.308044006015948,30.270801718038104,WPG,WPG,0.06823911669787264,0.12249500277781275,1.5,5.987747664854029,20.139879103402794,25.050918442698165,3.0,6.015194161061458,9.091395828899108,25.050918442698308,4.5,5.906307996051378,1.9777021797580432,25.050918442697654,31.640457567085402,100.2036737707918,c44667b2,99.9,4.0,20.7
0.2397227582926431,0.25821101620365655,MN8014,VT8020,9.851411068390613,17.643758544202512,CPG,WPG,0.10064638534899625,0.12396781855136031,1.5,5.246201396405042,14.034024902427088,154.53994027640462,3.0,6.756413097466751,14.110639358819753,76.24915696340317,4.5,6.875133193957923,5.641257689040767,76.2491569634059,34.650961699644135,383.2874111666232,464bd235,231.5,4.1,19.1
0.23882499928286083,0.23885918708796766,MN8014,MN8014,17.700053476476384,22.949938207949607,WPG,WPG,0.08728130728458121,0.09864672741061595,1.5,6.4715086549657554,24.715898306399414,111.23867902086191,3.0,8.705504646697,32.552783273481054,111.23867902085925,4.5,8.416646504765762,15.340119843293857,111.23867902085996,77.98784476703432,444.9547160834408,ad55fc5e,68.9,5.1,27.7
0.24572130734971329,0.2772991183846376,MN8014,MN8014,10.968652906953022,21.341350379633347,CPG,WPG,0.0937615964856125,0.07693992650642367,1.5,1.311606902779541,0.03549195908031733,17.161434915392356,3.0,1.6302622508891476,1.8761815013392646,17.16143491539233,4.5,1.5926221275952654,8.45284609294868,17.161434915392398,29.877500382591776,68.64573966156935,bf768f83,189.5,3.5,23.6
0.24422127872840546,0.28232290749064903,VT8020,VT8020,22.328856666270894,26.6780185339065,WPG,WPG,0.08139853791150758,0.1003638469412435,1.5,1.690240862024722,0.036191585583909315,23.05429647085575,3.0,2.349346393327235,0.42335011587627724,19.614359001187946,4.5,2.298221815619818,4.84782717321249,19.61435900118793,19.17785943648783,81.8973734744196,56cf73b4,188.7,3.4,16.9
0.2024838746053888,0.29269390875702295,MN8014,VT8020,18.257205760306256,25.15920005347529,WPG,WPG,0.07561555538112343,0.12400680169464018,1.5,3.0929680394047168,2.5375471745649074,27.118549643498298,3.0,3.6264973340704807,0.3924989095974195,27.11854964349707,4.5,3.540503368727711,0.9206337854228706,27.11854964349831,8.846238181171458,108.47419857399188,eae9419c,116.8,2.6,21.5
0.23245574566040667,0.2404374755435214,MN8014,MN8014,13.919304489955753,15.070490459200968,WPG,WPG,0.10777157762925793,0.13808672678750997,1.5,5.664344416072464,17.341764415673914,27.481151594686168,3.0,7.668830350964847,21.79797684609054,27.481151594687354,4.5,7.549113497854723,9.297093122799863,27.48115159468666,54.100961895122616,109.92460637874808,b35732b1,120.7,4.5,24.2
0.24406094088013472,0.2678145506611551,MN8014,MN8014,26.179700520042022,22.304364086537603,WPG,WPG,0.08264431729388755,0.11263119856914229,1.5,9.179663410057545,58.97723009177668,92.1141113598612,3.0,11.638800580122112,74.62887546311813,92.11411135986123,4.5,11.300353659361981,46.24480989239789,92.11411135986106,220.21760140219496,368.4461573464193,1c83079d,172.8,4.9,27.0
0.25476176129081435,0.2765384818406569,MN8014,VT8020,27.90886871272578,8.937276672621644,WPG,CPG,0.09384206448717944,0.12499342090072176,1.5,3.53973563267615,4.160521451208774,31.665135271494414,3.0,4.299968392922911,1.6899178225985756,31.665135271494403,4.5,4.151572551885182,0.12140168659980431,31.6651352714944,7.49581526101029,126.66054108597763,f7c0fb53,188.3,5.1,16.3
0.2273686336987456,0.28291111442528705,VT8020,VT8020,12.71994718928134,24.533904069580586,WPG,WPG,0.08700875213445972,0.11350472434458227,1.5,5.844099064761096,18.87119668445823,26.67224690344661,3.0,6.679643533553711,13.53977653402364,26.94141612599781,4.5,6.605140977318932,4.431618534387308,26.672246903446638,39.59378336181018,106.95815683633779,9b608588,81.1,5.3,23.4
0.24190189530714484,0.3019203699082442,VT8020,MN8014,23.106701263453857,15.734622347967191,WPG,WPG,0.06817002437253372,0.09290194364842497,1.5,1.9340546741179674,0.18840346012365486,17.354393488880678,3.0,1.93456955743056,1.135142027953713,17.41384099745771,4.5,1.8868674281225088,6.8284618382070725,17.35439348888058,25.063903280977094,69.53646897267686,4adf8dc9,185.1,4.8,20.0
0.2581107984863765,0.28789236771951177,MN8014,MN8014,24.39214287063017,9.87087767672562,WPG,CPG,0.09323524396520488,0.1235960022811125,1.5,1.8422651664927971,0.11714544419434215,46.022496585536295,3.0,1.8651396989941678,1.287907902799048,46.0224965855341,4.5,1.8184255057286471,7.190841768326663,46.02249658549261,26.00784655872885,184.08998634208362,3c5aa151,251.5,4.4,10.0
0.24788360436004997,0.2832933101150343,MN8014,VT8020,19.489310749132276,17.020493046266193,WPG,WPG,0.08158305922979786,0.10858573131301855,1.5,3.3905623851165894,3.5742261320177273,30.298595918675797,3.0,3.429588724625055,0.18454647232498128,37.89769565407566,4.5,3.385046906049129,1.2431204017106197,37.897695654075676,11.57974038243309,136.392583145503,aed864d9,202.1,3.8,18.9
0.22377000332623695,0.3047983613870986,MN8014,VT8020,22.82391342224147,17.04539161153746,WPG,WPG,0.09078194105556467,0.10624674148375943,1.5,7.317345471077105,33.841508329861306,37.291724671014876,3.0,7.438551495487758,19.70073937809661,37.291724671014066,4.5,7.282319229599795,7.741300295400799,37.2917246710146,65.28152905554428,149.1668986840579,3a6329fe,149.3,4.3,24.3
0.23407954239675233,0.2802922191114442,VT8020,VT8020,22.99496441833152,13.379873455778494,WPG,WPG,0.09468970377024749,0.1374535310625598,1.5,4.553391422390028,9.323199178325,74.2363395288108,3.0,4.632392915849359,2.6647066317151733,76.19560062375753,4.5,4.558082384589691,0.00337356339962482,74.23633952881073,13.647811161722618,298.9046192101898,a46e74df,158.9,3.9,15.3
0.23594416989823735,0.3058863597662001,MN8014,VT8020,21.465378371962395,15.917829299400157,WPG,WPG,0.07648312817220457,0.14282311490200578,1.5,5.617005441572249,16.94973380593551,84.67179042408198,3.0,5.7469102606743085,7.545515980197798,84.67179042408208,4.5,5.629537299674857,1.2758545113567685,84.67179042408216,25.98209624307252,338.6871616963282,5ce4b232,181.9,4.2,26.5
0.23664740029581044,0.27530109308061756,VT8020,VT8020,25.462889863491135,14.841385506137104,WPG,WPG,0.0867282202271811,0.13733339062078403,1.5,2.7512141353009043,1.5655368123767897,128.2007278013105,3.0,2.8571242781755726,0.020413471886851168,128.2007278013104,4.5,2.782461992832678,2.9499368060642963,128.2007278013107,13.399384411044558,512.802911205242,7ae89ae0,216.5,4.4,23.5
