Thigh,Calf,Hip left motor,Hip right motor,Hip left ratio,Hip right ratio,Gearbox left,Gearbox right,Torso distance,Push duration,Best distance,Average energy,Max height,Max distance,Unique id,ac1,ac2,ac3
0.24036762350873542,0.23504812055425556,U12,VT8020,10.428241520281388,13.969922987506662,CPG,WPG,0.10794497171268629,0.1337003704606874,0.3106625450754487,42.37517213110203,0.44357803160281145,0.3106625450754487,e98e032e,149.1,3.9,34.1
0.2438338508633996,0.2576921919421884,U10,MN8014,4.17890474264688,9.241041924800603,CPG,CPG,0.10508492707153605,0.12980614843882904,0.921902310290025,222.22662668605992,0.06233821404247452,0.921902310290025,d28d31d2,172.5,5.8,31.8
0.26487937838909015,0.2780858109553408,U12,VT8020,5.800547097644919,18.692607896020064,SSPG,WPG,0.10767245185817204,0.12308120264111248,0.9455267271589611,170.9066383604304,0.3623625143700688,0.9455267271589611,5b7c3fe7,225.0,4.9,28.0
0.2543343031992226,0.23638594953735692,U12,VT8020,10.400196957472524,12.126740051571797,CPG,CPG,0.11166034373900144,0.11461981725782919,0.06151148559591707,131.56098192747672,0.0035240905309524115,0.06151148559591707,7c30a12f,189.8,3.4,31.3
0.27378714482278743,0.25163326819117926,MN8014,VT8020,5.46628370230348,11.599068954340439,SSPG,WPG,0.09993796304939212,0.11901803534019006,0.25844708445483,24.595478244524585,0.0029960971952642077,0.25844708445483,e9844b60,220.8,3.5,34.0
0.2545828160485363,0.22951563865696256,U12,VT8020,15.254671059287285,13.06420284411617,WPG,WPG,0.10694453986826749,0.11322754273277132,0.08822831153422106,124.72197899314408,0.006192810369485884,0.08822831153422106,523c1d98,174.9,3.5,30.6
0.24468001745338258,0.2285836278749112,U12,MN8014,12.240382359511335,14.843964541742796,WPG,WPG,0.10815919657469403,0.11936780443542304,0.4193373836053751,55.917397837103906,0.30069192290338975,0.4193373836053751,da5fc575,110.3,4.6,28.8
0.2519509529092123,0.2503192737352711,MN8014,VT8020,6.655819029066069,15.809916440544136,CPG,WPG,0.09705888041848121,0.12857537352036924,1.341448882545931,157.32327177533622,0.2755840980269353,1.341448882545931,4bf3b036,215.6,5.1,33.6
0.27194462316348444,0.24660283532452554,MN8014,MN8014,4.656338459307217,5.048715968301627,CPG,SSPG,0.10259896961477892,0.11247183379444717,0.04036893363122225,19.288971940649528,0.01131614107594087,0.04036893363122225,8c88627f,183.8,3.2,31.6
0.26373663794765223,0.24669917952094794,MN8014,VT8020,8.765971958032758,13.087961406206535,CPG,WPG,0.10286534606916423,0.1256039313817595,0.08925214729289926,116.10753460372969,0.000213872090181733,0.08925214729289926,335ac05b,151.8,1.9,34.6
0.23877624746405543,0.22726840734890572,U12,MN8014,17.169555269804416,15.124312014078692,WPG,WPG,0.10902356704855601,0.1133833575412312,0.8828931972690534,78.52060833779343,0.3962701634177291,0.8828931972690534,ab5c8c41,173.1,4.5,32.2
0.24282870549407518,0.263909444892306,U12,MN8014,8.716393675993956,9.941722845964957,CPG,CPG,0.10261303006844108,0.1257290551690588,0.9500745079395048,112.35049969204007,0.552106133706522,0.9500745079395048,4da7c856,156.9,3.3,32.3
0.27264235807861004,0.262187786825607,U12,MN8014,4.155973904684548,11.289106158555144,CPG,CPG,0.1102247047886549,0.11299704582870716,1.0334096224437574,74.31678734055926,0.27704629350614896,1.0334096224437574,aea67fb4,161.6,5.1,33.2
0.27511793031386006,0.2554535180905605,MN8014,MN8014,5.978135218569086,12.671512716956709,SSPG,WPG,0.10858943884295158,0.11912611579117435,1.0348927035063096,202.0087975190015,0.15640114742198488,1.0348927035063096,7e77ccc9,152.2,1.9,31.6
