thigh_length,calf_length,motor_hip_name,motor_knee_name,gear_hip_ratio,gear_knee_ratio,gearbox_hip,gearbox_knee,push_duration,best_index,best_cost,ctrl_v2_param1,ctrl_v2_param2,ctrl_v2_param3,ctrl_v4_param1,ctrl_v4_param2,ctrl_v4_param3,ctrl_v6_param1,ctrl_v6_param2,ctrl_v6_param3
0.19602906080725843,0.31488089872795644,MN8014,MN8014,19.733442551727272,4.11486180718142,WPG,SSPG,0.0803545045375213,5,3.0223389475870333,147.4,9.9,15.4,54.7,6.5,43.7,146.5,2.6,29.5
0.19252777750012118,0.2785405384091092,MN8014,VT8020,24.487775128384065,4.3258479685024325,WPG,CPG,0.0806141612584377,0,3.0718306151126558,145.7,9.2,16.1,62.9,7.0,45.1,180.9,3.0,21.9
0.17877093989433585,0.3086778278575102,U12,VT8020,17.280801508774566,5.252845496229804,WPG,CPG,0.08719143309218254,1,3.003359293531692,134.7,9.1,18.4,74.2,7.6,41.8,193.5,3.3,20.2
0.1697639871372706,0.31705116309137127,MN8014,VT8020,19.26234426151204,5.280848863025129,WPG,CPG,0.07327393718921216,5,3.0267179434529927,184.5,9.0,14.6,73.0,6.3,42.1,164.4,4.1,21.6
0.18493808562157613,0.304694065361646,MN8014,VT8020,24.8153666692234,4.70524020508565,WPG,CPG,0.09064339677973948,0,3.023404390443542,200.9,9.0,16.9,60.2,6.1,45.4,220.1,3.3,22.0
0.16821641493404094,0.3237992192062172,U12,VT8020,20.890764268839398,5.686553467324368,WPG,SSPG,0.07708205218563279,4,3.0052073087041578,156.7,9.9,20.3,62.9,7.4,49.6,165.0,3.4,20.5
0.173826070387821,0.29953235247056775,MN8014,VT8020,25.621107621511115,4.235023059596098,WPG,CPG,0.07004455094877372,1,3.008962722164372,224.6,8.6,13.7,61.4,7.3,46.4,192.2,4.4,22.1
0.17829347557892056,0.3009367840719429,U12,VT8020,19.985585415751608,4.182330003070273,WPG,CPG,0.07734762420578356,7,3.0202123383235855,141.5,9.7,21.5,103.3,6.3,49.5,234.0,2.9,19.7
0.17522672943548082,0.2998171190604616,U12,VT8020,20.825040175160524,5.046979318148048,WPG,SSPG,0.0635421629493257,6,3.0121361814492777,156.9,10.0,17.8,99.0,8.7,49.9,209.7,2.8,20.9
0.17022542172511745,0.3049544270428919,U12,MN8014,30.01731164843228,4.2266303651381625,WPG,SSPG,0.07662696691738813,1,3.006518462400493,184.6,9.9,19.9,70.7,7.9,49.8,211.7,3.8,23.9
0.18932873243540072,0.3097932160333273,U12,MN8014,36.52231275690609,4.075030356612184,WPG,SSPG,0.07117226245461516,3,3.0069644365759896,92.0,9.9,21.3,102.1,9.4,48.8,154.5,4.0,19.8
