thigh_length,calf_length,motor_left_name,motor_right_name,gear_left_ratio,gear_right_ratio,gearbox_left,gearbox_right,torso_distance,push_duration,total_tracking_error,total_energy,cost,unique_id,ac1,ac2,ac3
0.21720795838234602,0.25631859202603124,MN8014,MN8014,21.798546386833983,25.907259258853557,WPG,WPG,0.0978697628337086,0.05227121386719492,57.089322821538595,58.492660667684376,62.93858888830703,644470b6,186.1,5.0,29.3
0.21853636033766213,0.2536702631034647,U12,MN8014,23.15448510900657,26.563123468144795,WPG,WPG,0.08961942798434998,0.059586340394408306,28.98465706304686,64.0248663526574,35.3871436983126,6111eb3e,228.2,3.8,28.5
0.2113531306606334,0.26461571302838816,MN8014,MN8014,25.222566860089753,32.25928543382487,WPG,WPG,0.09312847351695452,0.06522869531187976,41.71922606805265,126.44595028766088,54.36382109681874,6bd6ac5a,211.2,3.6,32.0
0.19898916392406277,0.2598175662759513,MN8014,MN8014,24.650118472526803,26.56999129934651,WPG,WPG,0.0896061929047827,0.05009833579981094,10.175554290649375,456.68264094415565,55.84381838506494,7d54aee1,210.1,4.4,31.4
0.22412872150135282,0.26119591197669006,MN8014,MN8014,17.18510621218075,20.579321513640675,WPG,WPG,0.10405709556258601,0.06583051354153077,12.53964792002051,132.57688060376427,25.797335980396937,a1125505,242.2,4.0,28.6
0.2561091100141934,0.2550295420961135,U12,MN8014,17.304051347686464,23.325484011569337,WPG,WPG,0.08490640286921736,0.05198665309952071,76.55540527782435,244.4091434225744,100.99631962008179,19586868,160.5,4.8,34.9
0.1929336183980594,0.2441571707461893,MN8014,MN8014,22.45270957045689,19.27352588536718,WPG,WPG,0.09744386084071832,0.0686288423413937,10.089193643857438,273.3653153830357,37.42572518216101,2edc0345,227.5,3.7,26.7
0.1811211043828591,0.26425473725351334,MN8014,MN8014,20.6773908926071,23.609462079579068,WPG,WPG,0.09573555982765491,0.06072180693764745,8.599999470753485,319.13735463908966,40.51373493466245,7775837c,254.4,4.0,28.6
0.23857110524488756,0.24195805860331437,MN8014,MN8014,15.888273538622935,13.065732699078472,WPG,WPG,0.08349606154269414,0.051240743197695594,12.943820669358846,64.53470934888554,19.3972916042474,67927807,293.0,3.5,32.2
0.23157758190658606,0.2598474738770068,MN8014,U12,20.56901017260921,26.533831948501938,WPG,WPG,0.10968258536464741,0.05217432615123123,40.75055662117008,105.64580394959279,51.315137016129356,e85cdf16,274.4,5.6,28.7
0.21704505427574505,0.2746602308985486,VT8020,MN8014,16.775620647811902,24.924284934127655,WPG,WPG,0.0885531998281367,0.05070695255339568,26.477841821597906,115.24466065854864,38.00230788745277,21af93d6,296.7,4.1,33.1
0.2417655890156194,0.239908833537993,MN8014,U12,14.200713161520829,18.03512042792128,WPG,WPG,0.10477507102290623,0.0656396689451105,31.650079128633543,129.3968772505359,44.58976685368714,f3041dce,285.5,2.9,25.8
0.19433435568897328,0.25211801578640497,MN8014,MN8014,26.929326148088165,22.01898709813753,WPG,WPG,0.10177498054164089,0.056489223168057906,35.889821687669055,135.03012534251872,49.39283422192093,cb37ff1f,191.0,4.3,27.4
0.2290938636488727,0.2437027974987444,MN8014,MN8014,25.243591930220063,34.08929016836833,WPG,WPG,0.11379998925868508,0.07121244728549447,35.27857453793635,109.96616139418788,46.27519067735514,e4bcd0f1,234.1,4.1,22.8
0.19978093923506168,0.23663550103358189,MN8014,U10,19.859665607155872,20.00912758014929,WPG,WPG,0.09941259550166204,0.05961377589771204,35.50709790356028,294.45550918620444,64.95264882218072,725b8dec,251.5,6.0,30.0
0.202793060280735,0.28196949843399344,MN8014,MN8014,21.264294113588768,18.19893832632725,WPG,WPG,0.10032201739720037,0.0533423952557191,8.87741784624992,199.93082656287731,28.870500502537652,b72eee09,259.4,3.7,24.7
0.2316598796693824,0.26221836175407237,MN8014,MN8014,9.48624788694948,11.005263933191369,CPG,CPG,0.07756007522921668,0.05011249230928166,11.922234225049724,51.548683051125344,17.077102530162257,a56672c6,229.4,3.9,31.5
0.21193422768941692,0.24817531085473293,MN8014,MN8014,12.748703655091763,9.34763299056485,WPG,CPG,0.10130253661143701,0.050120372017068635,41.04634462052645,135.77388562488898,54.62373318301535,f60efa98,258.5,3.4,29.5
0.24479622064647527,0.24201075723815813,VT8020,MN8014,18.52129868357139,20.806566143770805,WPG,WPG,0.08122875546747417,0.05022639799814046,28.902859972059954,53.545449802382464,34.2574049522982,b893c3e5,310.5,1.8,32.4
0.191694743633463,0.24644236050777252,MN8014,MN8014,25.28664062358089,24.59874525228962,WPG,WPG,0.09195209562424381,0.05046127910759766,31.9079236992528,162.19165320252543,48.12708901950535,5a4ead53,278.1,2.4,27.5
0.21641802387953119,0.24621333117601324,MN8014,MN8014,21.423028896559522,20.628942074074864,WPG,WPG,0.1001571830397473,0.052289631952150036,12.81748593947015,139.75834261351903,26.793320200822052,1c0f1798,296.3,4.1,27.5
0.22963638360608302,0.24464204030073744,MN8014,MN8014,15.597167103010124,19.383366952649332,WPG,WPG,0.07725619685026376,0.05296658351105226,14.963470076764104,80.38359513821868,23.00182959058597,bacb6c71,317.1,3.8,33.1
0.2327915412056659,0.26932729204190897,MN8014,MN8014,15.921731876251823,18.98315260251522,WPG,WPG,0.09795908964460032,0.050402460565525824,3.1792885997845834,116.80092435364283,14.859381035148868,3caafd8c,312.7,4.2,29.8
0.22249707362817914,0.26718162219523095,MN8014,MN8014,21.532125125785164,20.81408306819049,WPG,WPG,0.09402639490691184,0.0633216684765983,10.777862061836558,160.8226393328194,26.860125995118498,0d79af3c,278.4,3.5,23.6
0.241894842360756,0.24763638513215555,VT8020,U12,13.999493485346331,17.1636186406351,WPG,WPG,0.07736143983550473,0.05034729209317535,19.96499122681101,50.70035315125041,25.03502654193605,c59d7e1f,302.9,3.6,31.3
0.26925074815962435,0.24245800479880827,MN8014,MN8014,4.809519825557119,13.450146318049347,SSPG,CPG,0.09676231941615351,0.06387239415432983,1100.336226338447,107.55217449440599,1111.0914437878876,4d49838c,251.7,3.5,31.4
0.24837646866905555,0.2722689401745621,MN8014,MN8014,5.726051380598298,12.434476742158491,SSPG,WPG,0.08866094829045669,0.07173385847068893,424.2288705742093,371.81447733733114,461.4103183079424,d0369040,198.5,5.0,28.5
0.21342545394343157,0.26189338783407945,VT8020,MN8014,14.102447189744133,17.53174616341672,WPG,WPG,0.08838207229706482,0.05155094336779147,8.352657340171815,67.26701895827824,15.07935923599964,f062af7a,210.6,4.8,28.2
0.2454702658368746,0.2406590895240629,MN8014,MN8014,14.44109106823538,16.077146179581817,WPG,WPG,0.09510114728145912,0.09115585173378311,9.187590244306943,576.7025545430438,66.85784569861133,37ae0335,295.2,4.7,26.0
0.2130330575192138,0.2989028552280305,MN8014,U12,20.663713617429234,15.582664457771946,WPG,CPG,0.09394697808913618,0.05061693505051114,10.433896384130941,138.90591718163517,24.32448810229446,e60b1949,272.3,3.3,34.9
0.21568838532840626,0.26359517086063927,MN8014,MN8014,14.672658477566385,9.811435389450995,WPG,CPG,0.08138420580645442,0.06987778643154025,41.83535415459583,187.0015536702186,60.53550952161768,38ddfa55,231.2,2.8,35.6
0.21742390859120256,0.28101255925928736,VT8020,MN8014,8.131831858572166,11.490855506424579,CPG,CPG,0.09662539446462876,0.0511633797668643,3146.169753954116,412.14077771609914,3187.383831725726,656f9f50,280.3,4.3,35.6
0.2140710309923769,0.28043650204007853,MN8014,MN8014,5.0623826134601,21.26653013134553,SSPG,WPG,0.08813166476578013,0.06226758018763465,2483.334054521699,203.27952004601383,2503.6620065263,280b8129,265.5,4.3,34.3
0.23793863343144334,0.27701978079538314,VT8020,MN8014,13.401970495641397,11.979078616077869,WPG,CPG,0.07872554627124814,0.050204704085049734,8.310268221043989,71.74819673235302,15.485087894279292,5494176d,280.7,4.6,35.9
