motor,target_ratio,actual_ratio,gearbox,mass,efficiency,cost,ratio_error
U8,13.4,13.370689655172416,CPG,0.763,0.943,-0.0868955692679622,0.0293103448275839
U8,13.5,13.529411764705882,CPG,0.775,0.943,-0.0822569013167644,0.0294117647058822
U8,13.6,13.6,CPG,0.763,0.944,-0.3807650123877471,0.0
U8,13.7,13.620689655172416,CPG,0.747,0.935,0.4130082683320769,0.0793103448275829
U8,13.8,13.812244897959184,CPG,0.776,0.944,-0.2539720124116853,0.0122448979591833
U8,13.9,13.87192118226601,CPG,0.747,0.94,-0.1023179286819743,0.0280788177339896
U8,14.0,13.995535714285714,CPG,0.771,0.942,-0.3321313668006135,0.0044642857142864
U8,14.1,14.095238095238097,CPG,0.777,0.945,-0.328779944501577,0.0047619047619029
U8,14.2,14.21551724137931,CPG,0.77,0.943,-0.2225624780618935,0.0155172413793103
U8,14.3,14.285714285714285,CPG,0.753,0.934,-0.2343673420010013,0.014285714285716
U8,14.4,14.414746543778802,CPG,0.788,0.941,-0.2230069083381627,0.0147465437788021
U8,14.5,14.53061224489796,CPG,0.756,0.939,-0.0733852795248417,0.0306122448979593
U8,14.6,14.648979591836737,CPG,0.783,0.944,0.1158064955420389,0.048979591836737
U8,14.7,14.6875,CPG,0.788,0.942,-0.2458852547655267,0.0124999999999992
U8,14.8,14.79310344827586,CPG,0.797,0.939,-0.2976018788472009,0.0068965517241412
U8,14.9,14.875,CPG,0.778,0.942,-0.1244692959915568,0.0250000000000003
U8,15.0,14.96103896103896,CPG,0.789,0.943,0.0184067574235472,0.0389610389610393
U8,15.1,15.057142857142855,CPG,0.796,0.94,0.0612996652988702,0.0428571428571444
U8,15.2,15.238095238095235,WPG,0.757,0.89,8.521602919965755,0.0380952380952361
U8,15.3,15.32258064516129,CPG,0.796,0.941,0.8579471783036917,0.0225806451612893
U8,15.4,15.32258064516129,CPG,0.796,0.941,0.8579471783036917,0.0774193548387103
U8,15.5,15.489795918367347,CPG,0.806,0.938,-0.260873494021734,0.0102040816326525
U8,15.6,15.589285714285714,CPG,0.796,0.942,-0.2611954786392554,0.0107142857142861
U8,15.7,15.74384236453202,CPG,0.805,0.939,0.0745899676286294,0.0438423645320202
U8,15.8,15.74384236453202,CPG,0.805,0.939,0.0745899676286294,0.0561576354679811
U8,15.9,16.0,CPG,0.804,0.94,0.6353821395995648,0.0999999999999996
U8,16.0,16.0,CPG,0.804,0.94,0.6353821395995648,0.0
U8,16.1,16.11111111111111,WPG,0.729,0.895,6.685281784075794,0.0111111111111092
U8,16.2,16.2,WPG,0.713,0.893,7.372338814541582,0.0
U8,16.3,16.244444444444444,WPG,0.818,0.891,8.373009446381609,0.0555555555555571
U8,16.4,16.479591836734695,CPG,0.814,0.938,1.435788419480956,0.0795918367346963
U8,16.5,16.479591836734695,CPG,0.814,0.938,1.435788419480956,0.020408163265305
U8,16.6,16.615384615384617,WPG,0.819,0.9,8.66392539269729,0.0153846153846153
U8,16.7,16.724137931034484,CPG,0.813,0.939,-0.1197569908363472,0.0241379310344846
U8,16.8,16.724137931034484,CPG,0.813,0.939,-0.1197569908363472,0.0758620689655167
U8,16.9,16.88888888888889,WPG,0.78,0.887,10.117341517776238,0.0111111111111092
U8,17.0,16.96969696969697,WPG,0.776,0.919,9.01314397948564,0.0303030303030311
U8,17.1,17.1,WPG,0.779,0.904,9.941722852879234,0.0
U8,17.2,17.185185185185187,WPG,0.79,0.908,6.228900707865827,0.0148148148148123
U8,17.3,17.333333333333332,WPG,0.781,0.914,9.587432302743396,0.0333333333333314
U8,17.4,17.333333333333332,WPG,0.781,0.914,9.587432302743396,0.0666666666666664
U8,17.5,17.5,WPG,0.746,0.893,7.662675084345007,0.0
U8,17.6,17.571428571428573,WPG,0.788,0.899,9.430397213764564,0.0285714285714284
