iter, gearRatio, moduleBig, moduleSmall, Ns, NpBig, NpSmall, Nr, numPlanet, fwSunMM, fwPlanetBigMM, fwPanetSmallMM, fwRingMM, mass, eff, peakTorque, Cost, Torque_Density, Outer_Bearing_mass, Actuator_width
6 , 14.295454545454545 , 0.5 , 0.5 , 24 , 78 , 33 , 135 , 3 , 10.782 , 10.782 , 21.081 , 21.081 , 0.834 , 0.946 , 32.945 , -0.3134148591497273 , 39.502 , 0.128 , 91.36302027337106
2 , 14.414746543778802 , 0.5 , 0.5 , 21 , 71 , 31 , 123 , 3 , 12.997 , 12.997 , 23.722 , 23.722 , 0.783 , 0.941 , 33.22 , -0.22463590405272832 , 42.427 , 0.103 , 96.21884961851035
1 , 14.53061224489796 , 0.5 , 0.5 , 21 , 68 , 28 , 117 , 3 , 13.021 , 13.021 , 25.97 , 25.97 , 0.736 , 0.939 , 33.487 , -0.07985380046157076 , 45.499 , 0.081 , 97.4901104910333
3 , 14.609195402298852 , 0.6 , 0.6 , 18 , 64 , 29 , 111 , 3 , 11.198 , 11.198 , 18.842 , 18.842 , 0.775 , 0.935 , 33.668 , -0.27865886917613397 , 43.443 , 0.103 , 89.54021327001394
3 , 14.6875 , 0.5 , 0.5 , 21 , 73 , 32 , 126 , 3 , 12.982 , 12.982 , 23.412 , 23.412 , 0.792 , 0.942 , 33.848 , -0.24463029583052626 , 42.737 , 0.103 , 95.89452839212765
2 , 14.793103448275861 , 0.5 , 0.5 , 21 , 70 , 29 , 120 , 3 , 13.005 , 13.005 , 25.533 , 25.533 , 0.786 , 0.939 , 34.092 , -0.3010379291547101 , 43.374 , 0.103 , 98.03794530507385
5 , 14.875 , 0.5 , 0.5 , 24 , 74 , 28 , 126 , 3 , 10.804 , 10.804 , 24.811 , 24.811 , 0.792 , 0.942 , 34.28 , -0.11966822830824642 , 43.283 , 0.103 , 95.1157058050527
4 , 14.96103896103896 , 0.5 , 0.5 , 21 , 75 , 33 , 129 , 3 , 12.968 , 12.968 , 23.124 , 23.124 , 0.801 , 0.943 , 34.479 , 0.02254594769424778 , 43.045 , 0.103 , 95.5917359672681
3 , 15.086206896551724 , 0.5 , 0.5 , 24 , 76 , 29 , 129 , 3 , 10.793 , 10.793 , 24.333 , 24.333 , 0.8 , 0.943 , 34.767 , -0.22979930696736334 , 43.459 , 0.103 , 94.62638003701485
5 , 15.235294117647058 , 0.5 , 0.5 , 21 , 77 , 34 , 132 , 3 , 12.955 , 12.955 , 22.854 , 22.854 , 0.811 , 0.943 , 35.111 , -0.011465377944370025 , 43.293 , 0.103 , 95.30893209360315
3 , 15.3 , 0.5 , 0.5 , 24 , 78 , 30 , 132 , 3 , 10.782 , 10.782 , 23.89 , 23.89 , 0.848 , 0.944 , 35.26 , -0.35245882030859604 , 41.58 , 0.128 , 94.17223848051745
2 , 15.32258064516129 , 0.5 , 0.5 , 21 , 74 , 31 , 126 , 3 , 12.975 , 12.975 , 24.75 , 24.75 , 0.804 , 0.941 , 35.312 , 0.4089173733423812 , 43.92 , 0.103 , 97.22524025211806
1 , 15.489795918367347 , 0.5 , 0.5 , 21 , 71 , 28 , 120 , 3 , 12.997 , 12.997 , 27.147 , 27.147 , 0.799 , 0.938 , 35.697 , -0.2631372972209948 , 44.677 , 0.103 , 99.64438201153624
2 , 15.589285714285714 , 0.5 , 0.5 , 21 , 76 , 32 , 129 , 3 , 12.961 , 12.961 , 24.399 , 24.399 , 0.813 , 0.942 , 35.927 , -0.255616203224438 , 44.191 , 0.103 , 96.85997027222653
2 , 15.74384236453202 , 0.5 , 0.5 , 21 , 73 , 29 , 123 , 3 , 12.982 , 12.982 , 26.657 , 26.657 , 0.807 , 0.939 , 36.283 , 0.07547766516780813 , 44.96 , 0.103 , 99.13949142444594
3 , 15.78125 , 0.5 , 0.5 , 24 , 77 , 28 , 129 , 3 , 10.787 , 10.787 , 25.843 , 25.843 , 0.853 , 0.942 , 36.369 , -0.16206184543976182 , 42.637 , 0.128 , 96.13055069759609
4 , 15.857142857142858 , 0.5 , 0.5 , 21 , 78 , 33 , 132 , 3 , 12.948 , 12.948 , 24.071 , 24.071 , 0.822 , 0.942 , 36.544 , 0.06842712374849108 , 44.457 , 0.103 , 96.51931180519449
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.968 , 12.968 , 26.202 , 26.202 , 0.816 , 0.94 , 36.873 , -0.3606004693625143 , 45.188 , 0.103 , 98.67028362858383
2 , 16.0 , 0.5 , 0.5 , 21 , 75 , 30 , 126 , 3 , 12.968 , 12.968 , 26.202 , 26.202 , 0.816 , 0.94 , 36.873 , 0.6393995306366473 , 45.188 , 0.103 , 98.67028362858383
4 , 16.258064516129032 , 0.5 , 0.5 , 21 , 77 , 31 , 129 , 3 , 12.955 , 12.955 , 25.779 , 25.779 , 0.825 , 0.941 , 37.468 , 0.22249878599452533 , 45.416 , 0.103 , 98.23380951054205
2 , 16.258064516129032 , 0.5 , 0.5 , 21 , 77 , 31 , 129 , 3 , 12.955 , 12.955 , 25.779 , 25.779 , 0.825 , 0.941 , 37.468 , 0.061208463413103154 , 45.416 , 0.103 , 98.23380951054205
1 , 16.479591836734695 , 0.5 , 0.5 , 21 , 74 , 28 , 123 , 3 , 12.975 , 12.975 , 28.326 , 28.326 , 0.821 , 0.938 , 37.978 , 0.4380980482744439 , 46.258 , 0.103 , 100.80117489215647
